Sp. Def,Sp. Atk,Legendary,Generation,Total,Name,Entry,Attack,HP,Speed,Defense,Type 2,Type 1,#
50,50,False,3,300,Snorunt,"It feeds mainly on ice and snow. It’s only able to
survive in a limited number of places in the
warm Alola region.",50,50,50,50,,Ice,361
80,80,False,3,480,Glalie,"It freezes its prey and chews them whole.
However, it prefers to eat Pokémon like Vanillite
that are already frozen.",80,80,80,80,,Ice,362
50,55,False,3,290,Spheal,"Spheal always travels by rolling around on its ball-like body.
When the season for ice floes arrives, this Pokémon can be
seen rolling about on ice and crossing the sea.",40,70,25,50,Water,Ice,363
70,75,False,3,410,Sealeo,"Sealeo often balances and rolls things on the tip of its
nose. While the Pokémon is rolling something, it checks
the object’s aroma and texture to determine whether it likes
the object or not.",60,90,45,70,Water,Ice,364
90,95,False,3,530,Walrein,"Walrein swims all over in frigid seawater while crushing
icebergs with its grand, imposing tusks. Its thick layer of
blubber makes enemy attacks bounce off harmlessly.",80,110,65,90,Water,Ice,365
55,74,False,3,345,Clamperl,"Despite its appearance, it’s carnivorous. It
clamps down on its prey with both sides of its
shell and doesn’t let go until they stop moving.",64,35,32,85,,Water,366
75,94,False,3,485,Huntail,"It’s not the strongest swimmer. It wags its tail to
lure in its prey and then gulps them down as
soon as they get close.",104,55,52,105,,Water,367
75,114,False,3,485,Gorebyss,"The color of its body changes with the water
temperature. The coloration of Gorebyss in Alola
is almost blindingly vivid.",84,55,52,105,,Water,368
65,45,False,3,485,Relicanth,"Thought to have gone extinct, Relicanth was
given a name that is a variation of the name of
the person who discovered it.",90,100,55,130,Rock,Water,369
65,40,False,3,330,Luvdisc,"There was an era when it was overfished due to
the rumor that having one of its heart-shaped
scales would enable you to find a sweetheart.",30,43,97,55,,Water,370
30,40,False,3,300,Bagon,"Whenever it sees bird Pokémon flying through
the sky, it becomes envious and smashes its
surroundings to bits with headbutts.",75,45,50,60,,Dragon,371
50,60,False,3,420,Shelgon,"The cells within its body are changing at a
bewildering pace. Its hard shell is made from
the same substance as bone.",95,65,50,100,,Dragon,372
80,110,False,3,600,Salamence,"Overjoyed at finally being able to fly, it flies all
over the place and usually doesn’t land until it’s
completely exhausted and needs to sleep.",135,95,100,80,Flying,Dragon,373
